district,member,party,link
1,"Butterfield, G.K.",D,http://butterfield.house.gov
2,"Holding, George",R,http://holding.house.gov
3,"Jones, Walter B.",R,http://jones.house.gov/
4,"Price, David",D,https://price.house.gov/
5,"Foxx, Virginia",R,http://foxx.house.gov/
6,"Walker, Mark",R,https://walker.house.gov/
7,"Rouzer, David",R,https://rouzer.house.gov/
8,"Hudson, Richard",R,https://hudson.house.gov
9,"Pittenger, Robert",R,https://pittenger.house.gov
10,"McHenry, Patrick T.",R,http://mchenry.house.gov
11,"Meadows, Mark",R,https://meadows.house.gov/
12,"Adams, Alma",D,http://adams.house.gov
13,"Budd, Ted",R,https://budd.house.gov
